M_eV,omega_s,delta_phi_rad
0.03,1202819613622.7776,0.026390341722678345
0.03,1230907913889.6018,0.027006610225499054
0.03,1259652133467.1387,0.02763726985942218
0.03,1289067589414.0244,0.028282656686819025
0.03,1319169956473.5742,0.02894311461780531
0.03,1349975275426.4324,0.02961899559350162
0.03,1381499961638.3237,0.030310659773574535
0.03,1413760813807.3613,0.031018475728155998
0.03,1446775022915.648,0.031742820634245036
0.03,1480560181389.91,0.03248408047669572
0.03,1515134292476.0513,0.03324265025389862
0.03,1550515779832.622,0.03401893418826533
0.03,1586723497348.3147,0.034813345941628215
0.03,1623776739188.7244,0.035626308835670376
0.03,1661695250077.6907,0.03645825607750239
0.03,1700499235818.794,0.037309630990508096
0.03,1740209374062.4849,0.03818088725057975
0.03,1780846825324.6812,0.03907248912787036
0.03,1822433244262.6646,0.03998491173419147
0.03,1864990791214.2942,0.040918641276188
0.03,1908542144006.6897,0.0418741753144255
0.03,1953110510040.635,0.04285202302852679
0.03,1998719638657.2524,0.0438527054885017
0.03,2045393833793.3904,0.04487675593241137
0.03,2093157966932.5737,0.04592472005051717
0.03,2142037490358.3833,0.04699715627606521
0.03,2192058450717.3235,0.04809463608286106
0.03,2243247502898.4155,0.04921774428979349
0.03,2295631924236.905,0.05036707937246953
0.03,2349239629049.6626,0.05154325378212695
0.03,2404099183509.974,0.05274689427199308
0.03,2460239820869.778,0.053978642231266735
0.03,2517691457037.277,0.05523915402689728
0.03,2576484706518.3745,0.05652910135334606
0.03,2636650898730.3555,0.05784917159051504
0.03,2698222094696.533,0.05920006817003408
0.03,2761231104130.759,0.060582510950101816
0.03,2825711502920.8325,0.061997236599078714
0.03,2891697651020.3022,0.06344499898804022
0.03,2959224710757.9575,0.06492656959249439
0.03,3028328665574.9453,0.06644273790348168
0.03,3099046339199.427,0.06799431184827454
0.03,3171415415268.9956,0.06958211822090106
0.03,3245474457411.3257,0.07120700312272248
0.03,3321262929793.741,0.07286983241329886
0.03,3398821218152.674,0.07457149217178378
0.03,3478190651314.1333,0.07631288916909204
0.03,3559413523216.8623,0.0780949513510965
0.03,3642533115449.6377,0.07991862833310533
0.03,3727593720314.938,0.08178489190588824
0.03,3814640664431.174,0.08369473655351864
0.03,3903720332886.0845,0.08564917998330897
0.03,3994880193954.178,0.08764926366812105
0.03,4088168824391.298,0.08969605340133896
0.03,4183635935320.0234,0.09179063986480515
0.03,4281332398719.396,0.09393413921001549
0.03,4381310274533.306,0.09612769365288813
0.03,4483622838411.906,0.09837247208242111
0.03,4588324610100.84,0.10066967068356346
0.03,4695471382493.421,0.10302051357463145
0.03,4805120251361.232,0.1054262534596099
0.03,4917329645779.026,0.10788817229568658
0.03,5032159359259.998,0.11040758197637246
0.03,5149670581618.343,0.11298582503057902
0.03,5269925931575.656,0.11562427533801563
0.03,5392989490128.87,0.11832433886129524
0.03,5518926834697.374,0.12108745439513605
0.03,5647805074067.546,0.1239150943330583
0.03,5779692884153.325,0.12680876545198552
0.03,5914660544591.758,0.12977000971516536
0.03,6052779976193.3545,0.13280040509384544
0.03,6194124779266.76,0.13590156640813184
0.03,6338770272838.487,0.13907514618748562
0.03,6486793534788.508,0.14232283555131375
0.03,6638273442923.075,0.14564636511012327
0.03,6793290717006.6875,0.1490475058877192
0.03,6951927961775.591,0.152528070264938
0.03,7114269710955.745,0.1560899129454193
0.03,7280402472308.576,0.15973493194392754
0.03,7450414773728.917,0.1634650695977594
0.03,7624397210419.138,0.16728231360176274
0.03,7802442493165.045,0.17118869806752932
0.03,7984645497739.078,0.17518630460732046
0.03,8171103315457.187,0.1792772634433051
0.03,8361915304916.334,0.18346375454270136
0.03,8557183144940.02,0.18774800877942224
0.03,8757010888760.518,0.19213230912285562
0.03,8961505019466.049,0.19661899185439738
0.03,9170774506742.932,0.20121044781239658
0.03,9384930864942.72,0.20590912366617195
0.03,9604088212505.37,0.21071752321977943
0.03,9828363332770.01,0.21563820874622514
0.03,10057875736205.814,0.22067380235283526
0.03,10292747724096.098,0.22582698737851048
0.03,10533104453709.38,0.23110050982360525
0.03,10779074004992.736,0.23649717981320634
0.03,11030787448822.15,0.2420198730945729
0.03,11288378916846.883,0.24767153256954966
0.03,11551985672964.781,0.2534551698627638
0.03,11821748186466.7,0.25937386692644243
0.03,12097810206889.037,0.2654307776827076
0.03,12380318840613.992,0.2716291297042159
0.03,12669424629259.076,0.2779722259340558
0.03,12965281629896.69,0.2844634464457974
0.03,13268047497147.244,0.29110625024464787
0.03,13577883567189.275,0.29790417711066686
0.03,13894954943731.36,0.30486084948502495
0.03,14219430585991.646,0.31197997440030917
0.03,14551483398731.908,0.3192653454559064
0.03,14891290324394.117,0.32672084483951624
0.03,15239032437388.303,0.3343504453958644
0.03,15594895040582.832,0.34215821274373776
0.03,15959067764047.309,0.35014830744244296
0.03,16331744666101.666,0.35832498720886385
0.03,16713124336724.857,0.36669260918628943
0.03,17103410003378.379,0.375255632266224
0.03,17502809639301.049,0.3840186194644176
0.03,17911536074332.34,0.39298624035237445
0.03,18329807108324.375,0.4021632735456573
0.03,18757845627201.61,0.4115546092502827
0.03,19195879721731.11,0.4211652518685888
0.03,19644142809066.266,0.4310003226659524
0.03,20102873757128.832,0.4410650624997808
0.03,20572317011895.527,0.45136483461223054
0.03,21052722727657.027,0.46190512748814133
0.03,21544346900318.867,0.47269155777971106
0.03,22047451503814.766,0.4837298732994589
0.03,22562304629706.35,0.4950259560830983
0.03,23089180630041.926,0.5065858255239157
0.03,23628360263551.75,0.5184156415803532
0.03,24180130845257.18,0.5305217080584926
0.03,24744786399573.477,0.5429104759711921
0.03,25322627816988.0,0.5555885469756683
0.03,25913963014396.63,0.568562676891341
0.03,26519107099185.406,0.5818397792998503
0.03,27138382537142.797,0.5954269292291182
0.03,27772119324293.547,0.609331366923452
0.03,28420655162745.11,0.623560501701685
0.03,29084335640640.45,0.6381219159054122
