M_eV,dt_s,visibility
0.03,1.148551242423939e-15,0.9489978978943531
0.03,1.1890167424419899e-15,0.9472492385306516
0.03,1.2309079138896017e-15,0.9454423651470262
0.03,1.2742749857031322e-15,0.9435754632101374
0.03,1.3191699564735743e-15,0.9416466704671196
0.03,1.3656466567946124e-15,0.9396540763473017
0.03,1.4137608138073612e-15,0.9375957214121345
0.03,1.4635701180190798e-15,0.9354695968591236
0.03,1.5151342924760514e-15,0.9332736440859734
0.03,1.5685151643735446e-15,0.9310057543215791
0.03,1.6237767391887241e-15,0.928663768330953
0.03,1.6809852774253653e-15,0.9262454762016451
0.03,1.740209374062485e-15,0.9237486172197069
0.03,1.801520040802024e-15,0.921170879843767
0.03,1.8649907912142942e-15,0.9185099017863156
0.03,1.9306977288832534e-15,0.915763270211855
0.03,1.9987196386572526e-15,0.9129285220621474
0.03,2.06913808111479e-15,0.910003144519383
0.03,2.142037490358383e-15,0.9069845756187134
0.03,2.2175052752539293e-15,0.9038702050222164
0.03,2.2956319242369047e-15,0.9006573749670129
0.03,2.3765111138110776e-15,0.8973433814009124
0.03,2.4602398208697775e-15,0.8939254753196408
0.03,2.5469184389745402e-15,0.8904008643203791
0.03,2.6366508987303554e-15,0.8867667143870392
0.03,2.729544792402002e-15,0.8830201519233827
0.03,2.8257115029208325e-15,0.8791582660507846
0.03,2.9252663374366475e-15,0.8751781111881246
0.03,3.0283286655749454e-15,0.8710767099319492
0.03,3.135022062565112e-15,0.8668510562557169
0.03,3.2454744574113256e-15,0.8624981190475477
0.03,3.3598182862837876e-15,0.8580148460064991
0.03,3.478190651314134e-15,0.8533981679179455
0.03,3.6007334849856204e-15,0.8486450033291216
0.03,3.727593720314937e-15,0.8437522636463498
0.03,3.858923467029899e-15,0.8387168586758116
0.03,3.994880193954179e-15,0.8335357026300082
0.03,4.1356269178177144e-15,0.8282057206222285
0.03,4.2813323987193956e-15,0.822723855671379
0.03,4.4321713424760854e-15,0.8170870762394736
0.03,4.58832461010084e-15,0.8112923843238203
0.03,4.749979434661403e-15,0.8053368241255401
0.03,4.917329645779025e-15,0.7992174913154453
0.03,5.0905759020366865e-15,0.7929315429174778
0.03,5.2699259315756565e-15,0.7864762078288222
0.03,5.455594781168514e-15,0.7798487979944889
0.03,5.647805074067546e-15,0.7730467202524948
0.03,5.846787276937601e-15,0.7660674888638139
0.03,6.052779976193355e-15,0.758908738738939
0.03,6.266030164072656e-15,0.7515682393701567
0.03,6.486793534788508e-15,0.7440439094755275
0.03,6.715334791115135e-15,0.7363338323569234
0.03,6.9519279617755915e-15,0.728436271970408
0.03,7.196856730011528e-15,0.720349689702608
0.03,7.450414773728916e-15,0.712072761841561
0.03,7.712906117627992e-15,0.7036043977247265
0.03,7.984645497739078e-15,0.6949437585404857
0.03,8.265958738801795e-15,0.6860902767523708
0.03,8.557183144940018e-15,0.6770436761075495
0.03,8.858667904100832e-15,0.6678039921826577
0.03,9.17077450674293e-15,0.6583715934108934
0.03,9.49387717927582e-15,0.6487472025244272
0.03,9.82836333277001e-15,0.638931918335525
0.03,1.0174634027476085e-14,0.6289272377684244
0.03,1.0533104453709382e-14,0.6187350780419296
0.03,1.0904204429677526e-14,0.6083577988898777
0.03,1.1288378916846882e-14,0.597798224693237
0.03,1.1686088553466497e-14,0.5870596663835136
0.03,1.2097810206889037e-14,0.5761459429626007
0.03,1.2524037545350744e-14,0.5650614024691933
0.03,1.2965281629896689e-14,0.5538109422065409
0.03,1.3422071527160119e-14,0.542400028030826
0.03,1.389495494373136e-14,0.5308347124838713
0.03,1.438449888287666e-14,0.5191216515385166
0.03,1.4891290324394118e-14,0.5072681197100062
0.03,1.5415936928422733e-14,0.4952820232723311
0.03,1.595906776404731e-14,0.4831719113050665
0.03,1.6521334063573683e-14,0.47094698428396725
0.03,1.7103410003378378e-14,0.45861709991797345
0.03,1.7705993512268942e-14,0.4461927759265771
0.03,1.8329807108324375e-14,0.43368518944518974
0.03,1.8975598765218503e-14,0.4211061727426636
0.03,1.9644142809066266e-14,0.40846820493487
0.03,2.0336240846866703e-14,0.39578439938185633
0.03,2.1052722727657026e-14,0.3830684864638895
0.03,2.179444753752988e-14,0.37033479144436426
0.03,2.256230462970635e-14,0.3575982071455052
0.03,2.3357214690901213e-14,0.34487416118652403
0.03,2.418013084525718e-14,0.3321785775640042
0.03,2.5032039797173203e-14,0.31952783239101384
0.03,2.5913963014396626e-14,0.3069387036553789
0.03,2.6826957952797274e-14,0.294428314908856
0.03,2.777211932429355e-14,0.28201407285785884
0.03,2.8750580409448774e-14,0.2697135988930945
0.03,2.976351441631313e-14,0.25754465466973775
0.03,3.0812135887140085e-14,0.2455250619315635
0.03,3.189770215466325e-14,0.23367261686126453
0.03,3.302151484968175e-14,0.22200499933436169
0.03,3.4184921461759273e-14,0.21053967755493286
0.03,3.5389316954909845e-14,0.19929380865652652
0.03,3.663614544020723e-14,0.18828413595988502
0.03,3.7926901907322537e-14,0.17752688368868813
0.03,3.926313401706839e-14,0.16703765005348084
0.03,4.064644395709628e-14,0.15683129972010698
0.03,4.207849036297398e-14,0.1469218567796579
0.03,4.356099030694617e-14,0.1373223994295404
0.03,4.5095721356761535e-14,0.1280449576567021
0.03,4.6684523707037945e-14,0.1191004152811879
0.03,4.8329302385717516e-14,0.11049841776789039
0.03,5.003202953825999e-14,0.10224728724322521
0.03,5.179474679231202e-14,0.09435394615849772
0.03,5.3619567705688055e-14,0.08682385101987988
0.03,5.550868030059811e-14,0.07966093755360794
0.03,5.746434968715974e-14,0.07286757859205807
0.03,5.94889207793433e-14,0.06644455585017199
0.03,6.158482110660253e-14,0.060391046611524515
0.03,6.375456372456494e-14,0.05470462615910156
0.03,6.600075022827101e-14,0.04938128656876378
0.03,6.832607387157405e-14,0.044415472235521475
0.03,7.073332279644438e-14,0.039800132227542126
0.03,7.322538337604526e-14,0.0355267892649193
0.03,7.580524367559246e-14,0.0315856248054642
0.03,7.847599703514622e-14,0.027965579395287283
0.03,8.124084577862974e-14,0.024654467115835303
0.03,8.410310505352605e-14,0.02163910264042276
0.03,8.706620680585118e-14,0.018905439111919966
0.03,9.01337038951742e-14,0.01643871477919888
0.03,9.330927435461682e-14,0.014223606093356602
0.03,9.659672580093842e-14,0.012244384775310183
0.03,1e-13,0.010485076232936182
0.03,1.0352317759307377e-13,0.008929616636054365
0.03,1.0717048298967093e-13,0.007562005956941408
0.03,1.1094628943275241e-13,0.006366454356284584
0.03,1.1485512424239393e-13,0.00532751944051398
0.03,1.1890167424419897e-13,0.004430232134456093
0.03,1.2309079138896017e-13,0.003660209198435346
0.03,1.2742749857031322e-13,0.003003750763523603
0.03,1.3191699564735743e-13,0.0024479216520290744
0.03,1.3656466567946068e-13,0.0019806156794398063
0.03,1.4137608138073612e-13,0.001590602583822248
0.03,1.4635701180190797e-13,0.0012675576827027829
0.03,1.5151342924760515e-13,0.0010020747986998677
0.03,1.5685151643735508e-13,0.0007856634068899161
0.03,1.6237767391887177e-13,0.0006107313234517942
0.03,1.6809852774253655e-13,0.00047055456294556097
0.03,1.740209374062485e-13,0.00035923622980639334
0.03,1.8015200408020238e-13,0.0002716564708499456
0.03,1.8649907912142943e-13,0.0002034155962189852
0.03,1.9306977288832455e-13,0.00015077247670953513
0.03,1.9987196386572526e-13,0.00011058025024358059
0.03,2.0691380811147902e-13,8.022122749425754e-05
0.03,2.142037490358383e-13,5.7542687490005096e-05
0.03,2.2175052752539295e-13,4.079501190090466e-05
0.03,2.295631924236905e-13,2.8573336499415486e-05
0.03,2.3765111138110775e-13,1.9763615236971903e-05
0.03,2.4602398208697776e-13,1.349371114277153e-05
0.03,2.5469184389745403e-13,9.089862002753213e-06
0.03,2.6366508987303554e-13,6.038628468755392e-06
0.03,2.7295447924020014e-13,3.954226097705322e-06
0.03,2.8257115029208324e-13,2.5509760394804784e-06
0.03,2.9252663374366474e-13,1.6204838676880146e-06
0.03,3.0283286655749455e-13,1.013071765865884e-06
0.03,3.135022062565112e-13,6.229429438772015e-07
0.03,3.245474457411326e-13,3.76543940250428e-07
0.03,3.359818286283788e-13,2.2360434572302963e-07
0.03,3.478190651314134e-13,1.3036788435633919e-07
0.03,3.60073348498562e-13,7.457716185623066e-08
0.03,3.727593720314938e-13,4.18306967097385e-08
